id_bgg,nombre
224517,Brass: Birmingham
342942,Ark Nova
161936,Pandemic Legacy: Season 1
174430,Gloomhaven
397598,Dune: Imperium – Uprising
316554,Dune: Imperium
233078,Twilight Imperium: Fourth Edition
115746,War of the Ring: Second Edition
167791,Terraforming Mars
187645,Star Wars: Rebellion
162886,Spirit Island
291457,Gloomhaven: Jaws of the Lion
220308,Gaia Project
12333,Twilight Struggle
418059,SETI: Search for Extraterrestrial Intelligence
338960,Slay the Spire: The Board Game
84876,The Castles of Burgundy
182028,Through the Ages: A New Story of Civilization
421006,The Lord of the Rings: Duel for Middle-earth
295770,Frosthaven
193738,Great Western Trail
28720,Brass: Lancashire
246900,Eclipse: Second Dawn for the Galaxy
173346,7 Wonders Duel
167355,Nemesis
169786,Scythe
177736,A Feast for Odin
266507,Clank! Legacy: Acquisitions Incorporated
124361,Concordia
312484,Lost Ruins of Arnak
341169,Great Western Trail: Second Edition
373106,Sky Team
205637,Arkham Horror: The Card Game
237182,Root
164928,Orléans
120677,Terra Mystica
192135,Too Many Bones
266192,Wingspan
251247,Barrage
96848,Mage Knight Board Game
321608,Hegemony: Lead Your Class to Victory
284378,Kanban EV
199792,Everdell
324856,The Crew: Mission Deep Sea
183394,Viticulture Essential Edition
521,Crokinole
366013,Heat: Pedal to the Metal
285774,Marvel Champions: The Card Game
365717,Clank!: Catacombs
390092,Ticket to Ride Legacy: Legends of the West
175914,Food Chain Magnate
247763,Underwater Cities
256960,Pax Pamir: Second Edition
253344,Cthulhu: Death May Die
414317,Harmonies
383179,Age of Innovation
3076,Puerto Rico
184267,On Mars
314040,Pandemic Legacy: Season 0
295947,Cascadia
185343,Anachrony
102794,Caverna: The Cave Farmers
251661,Oathsworn: Into the Deepwood
31260,Agricola
170216,Blood Rage
231733,Obsession
240980,Blood on the Clocktower
182874,Grand Austria Hotel
161533,Lisboa
371942,The White Castle
221107,Pandemic Legacy: Season 2
255984,Sleeping Gods
2651,Power Grid
126163,Tzolk'in: The Mayan Calendar
380607,Great Western Trail: New Zealand
216132,Clans of Caledonia
205059,Mansions of Madness: Second Edition
367966,Endeavor: Deep Sea
244521,Quacks
436217,The Lord of the Rings: Fate of the Fellowship
266810,Paladins of the West Kingdom
35677,Le Havre
337627,Voidfall
125153,The Gallerist
124742,Android: Netrunner
200680,Agricola (Revised Edition)
164153,Star Wars: Imperial Assault
366161,Wingspan Asia
276025,Maracaibo
322289,Darwin's Journey
209010,Mechs vs. Minions
413246,Bomb Busters
332772,Revive
28143,Race for the Galaxy
284083,The Crew: The Quest for Planet Nine
55690,Kingdom Death: Monster
157354,Five Tribes: The Djinns of Naqala
277659,Final Girl
230802,Azul
359871,Arcs
201808,Clank!: A Deck-Building Adventure
93,El Grande
159675,Fields of Arle
256916,Concordia Venus
72125,Eclipse: New Dawn for the Galaxy
110327,Lords of Waterdeep
291453,SCOUT
191189,Aeon's End
359609,Arkham Horror: The Card Game (Revised Core Set)
229853,Teotihuacan: City of Gods
364073,Splendor Duel
317985,Beyond the Sun
12,Ra
391137,Galactic Cruise
62219,Dominant Species
279537,The Search for Planet X
225694,Decrypto
68448,7 Wonders
25613,Through the Ages: A Story of Civilization
121921,Robinson Crusoe: Adventures on the Cursed Island
171623,The Voyages of Marco Polo
163068,Trickerion: Legends of Illusion
217372,The Quest for El Dorado
410201,Wyrmspan
155821,Inis
37111,Battlestar Galactica: The Board Game
310873,Carnegie
271055,Dwellings of Eldervale
310100,Nemesis: Lockdown
236457,Architects of the West Kingdom
42,Tigris & Euphrates
227935,Wonderland's War
40834,Dominion: Intrigue
170042,Raiders of the North Sea
122515,Keyflower
264220,Tainted Grail: The Fall of Avalon
396790,Nucleum
146021,Eldritch Horror
4098,Age of Steam
18602,Caylus
73439,Troyes
203993,Lorenzo il Magnifico
269385,The Lord of the Rings: Journeys in Middle-Earth
172386,Mombasa
429293,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game
36218,Dominion
43015,Hansa Teutonica
163412,Patchwork
102680,Trajan
218417,Aeon's End: War Eternal
12493,Twilight Imperium: Third Edition
144733,Russian Railroads
391163,Forest Shuffle
205896,Rising Sun
175640,Vinhos: Deluxe Edition
196340,Yokohama
254640,Just One
175155,Forbidden Stars
325494,ISS Vanguard
198928,Iberia
178900,Codenames
233371,Clank! In! Space!: A Deck-Building Adventure
189932,Tyrants of the Underdark
180263,The 7th Continent
172287,Champions of Midgard
258779,Planet Unknown
463,Magic: The Gathering
235802,Too Many Bones: Undertow
220877,Rajas of the Ganges
304783,Hadrian's Wall
358661,Andromeda's Edge
30549,Pandemic
132531,Roll for the Galaxy
400602,Civolution
118048,Targi
147020,Star Realms
209418,Dominion: Second Edition
14996,Ticket to Ride: Europe
161970,Alchemists
266524,PARKS
268864,Undaunted: Normandy
249259,War Chest
262712,Res Arcana
263918,Cartographers
271324,It's a Wonderful World
77423,The Lord of the Rings: The Card Game
274364,Watergate
34635,Stone Age
356080,The Elder Scrolls: Betrayal of the Second Era
294484,Unmatched: Cobble & Fog
308765,Praga Caput Regni
271896,Star Wars: Outer Rim
148949,Istanbul
328871,Terraforming Mars: Ares Expedition
364011,Great Western Trail: Argentina
296151,Viscounts of the West Kingdom
281259,The Isle of Cats
82222,Xia: Legends of a Drift System
146652,Legendary Encounters: An Alien Deck Building Game
316377,7 Wonders (Second Edition)
127023,Kemet
54043,Jaipur
283948,Marco Polo II: In the Service of the Khan
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases
265188,Glen More II: Chronicles
244522,That's Pretty Clever!
103885,Star Wars: X-Wing Miniatures Game
233398,Endeavor: Age of Sail
350184,Earth
420033,Vantage
329082,Radlands
283355,Dune
339789,Welcome to the Moon
233867,Welcome To...
332686,John Company: Second Edition
374173,Star Wars: The Deckbuilding Game
314491,Meadow
43111,Chaos in the Old World
188920,This War of Mine: The Board Game
416851,Castle Combo
118,Modern Art
9609,War of the Ring
10630,Memoir '44
227224,The Red Cathedral
199561,Sagrada
242302,Space Base
342070,Thunder Road: Vendetta
256680,Return to Dark Tower
104162,Descent: Journeys in the Dark (Second Edition)
39463,Cosmic Encounter
299659,Clash of Cultures: Monumental Edition
25021,Sekigahara: The Unification of Japan
300531,Paleo
155426,Castles of Mad King Ludwig
188,Go
128882,The Resistance: Avalon
103343,A Game of Thrones: The Board Game (Second Edition)
400366,Wondrous Creatures
822,Carcassonne
31627,Ticket to Ride: Nordic Countries
287954,Azul: Summer Pavilion
17133,Railways of the World
148228,Splendor
282524,Horrified
70149,Ora et Labora
171131,Captain Sonar
104006,Village
367150,Dune: War for Arrakis
375459,Speakeasy
269207,The Taverns of Tiefenthal
123260,Suburbia
215,Tichu
14105,Commands & Colors: Ancients
150376,Dead of Winter: A Crossroads Game
285967,Ankh: Gods of Egypt
367220,Sea Salt & Paper
241451,Aeon's End: Legacy
385761,Faraway
293014,Nidavellir
165722,KLASK
7854,YINSH
9209,Ticket to Ride
245638,Coimbra
91,Paths of Glory
306735,Under Falling Skies
182631,Star Realms: Colony Wars
260605,Camel Up (Second Edition)
188834,Secret Hitler
295486,My City
283155,Calico
329839,So Clover!
54998,Cyclades
126042,Nations
223040,Fantasy Realms
224037,Codenames: Duet
146886,La Granja
295895,Distilled
232832,Century: Golem Edition
21050,Combat Commander: Europe
195421,Near and Far
221194,Dinosaur Island
129437,Legendary: A Marvel Deck Building Game
158600,Hanamikoji
3,Samurai
351913,Tiletum
192291,Sushi Go Party!
199478,Flamme Rouge
232405,Western Legends
156129,Deception: Murder in Hong Kong
176189,Zombicide: Black Plague
318977,MicroMacro: Crime City
176494,Isle of Skye: From Chieftain to King
150145,Skull King
274637,"Unmatched: Battle of Legends, Volume One"
19857,Glory to Rome
311193,Anno 1800: The Board Game
286096,Tapestry
224783,Vindication
169426,Roll Player
284189,Foundations of Rome
300322,Hallertau
270633,Aeon's End: The New Age
156546,Monikers
555,The Princes of Florence
323612,Bitoku
198994,Hero Realms
329500,Unconscious Mind
297562,Kemet: Blood and Sand
228341,Pulsar 2849
19777,Indonesia
194655,Santorini
421,1830: Railways & Robber Barons
277085,Love Letter
9216,Goa
109276,Kanban: Driver's Edition
20551,Shogun
31481,Galaxy Trucker
230253,Star Realms: Frontiers
128621,Viticulture
400314,Apiary
244271,Dice Throne: Season Two – Battle Chest
356123,Turing Machine
284653,Mind MGMT: The Psychic Espionage “Game.”
349067,The Lord of the Rings: The Card Game – Revised Core Set
331106,The Witcher: Old World
370591,Dorfromantik: The Board Game
127060,Bora Bora
204583,Kingdomino
760,Battle Line
298047,Marvel United
291572,Oath
140620,Lewis & Clark: The Expedition
2655,Hive
206718,Ethnos
27708,1960: The Making of the President
318184,Imperium: Classics
246784,Cryptid
144344,Rococo
262211,Cloudspire
305096,Endless Winter: Paleoamericans
223321,Detective: A Modern Crime Board Game
27833,Steam
350316,Wayfarers of the South Tigris
342810,Marrakesh
50,Lost Cities
446497,Hot Streak
239188,Chronicles of Crime
385529,The Vale of Eternity
139976,Cthulhu Wars
46213,Telestrations
108745,Seasons
92828,Dixit: Odyssey
434654,Toy Battle
172,For Sale
257499,Arkham Horror (Third Edition)
332800,Summoner Wars (Second Edition)
146508,T.I.M.E Stories
160477,Onitama
111341,The Great Zimbabwe
333255,Keep the Heroes Out!
276182,Dead Reckoning
350933,The Guild of Merchant Explorers
302723,Forgotten Waters
5,Acquire
295374,Long Shot: The Dice Game
155068,Arcadia Quest
66589,Navegador
129622,Love Letter
381248,Nemesis: Retaliation
308119,Pax Renaissance: 2nd Edition
176734,The Manhattan Project: Energy Empire
24181,Imperial
345972,Cat in the Box: Deluxe Edition
319966,The King Is Dead: Second Edition
97207,Dungeon Petz
411567,The Gang
311988,Frostpunk: The Board Game
63888,Innovation
2653,Survive: Escape from Atlantis!
379078,Expeditions
47,Chinatown
260180,Project L
354934,Legacy of Yu
54,Tikal
38453,Space Alert
184921,Bunny Kingdom
234277,Nusfjord
209685,Century: Spice Road
22545,Age of Empires III: The Age of Discovery
136888,Bruges
143693,Glass Road
227789,Heaven & Ale
155873,Power Grid Deluxe: Europe/North America
202426,Sidereal Confluence
163967,Tiny Epic Galaxies
245655,The King's Dilemma
301880,Raiders of Scythia
154203,Imperial Settlers
336986,Flamecraft
181279,Fury of Dracula (Third/Fourth Edition)
54138,Imperial 2030
336382,Marvel United: X-Men
384213,Fromage
219650,Arydia: The Paths We Dare Tread
417197,Rebirth
188866,Awkward Guests: The Walton Case
271601,Feed the Kraken
40692,Small World
187617,Nemo's War (Second Edition)
